algorithm,m,iterations,time,final_rel_res,final_residual,aa_steps,aa_rate_percent
GlobalAndersonSolver,1,500,0.43610048294067383,6.4721205770859145e-09,3.7420269504233766e-07,271,54.2
GlobalAndersonSolver eta=1e-10,1,500,0.4343130588531494,6.4721205770859145e-09,3.7420269504233766e-07,271,54.2
AA_pure,1,500,0.3140254020690918,0.14534030706562964,8.403232596560686,500,100.0
FAA cs=0.1,1,500,0.4971957206726074,0.5330557656266494,30.820022854883376,500,100.0
FAA cs=0.2,1,500,0.4879128932952881,0.5330557656266494,30.820022854883376,500,100.0
Picard,1,500,0.2735915184020996,0.29094681083446805,16.82185605652784,0,0.0
GlobalAndersonSolver,3,92,0.09063386917114258,4.019858177494272e-11,2.3241868654796047e-09,72,78.26086956521739
GlobalAndersonSolver eta=1e-10,3,90,0.07139277458190918,9.99711054634511e-11,5.780092729302774e-09,70,77.77777777777777
AA_pure,3,451,0.45701098442077637,8.464993430578174e-11,4.894258871586513e-09,451,100.0
FAA cs=0.1,3,194,0.24837064743041992,8.027123490499042e-11,4.641092834730301e-09,194,100.0
FAA cs=0.2,3,161,0.20549678802490234,6.605174982879304e-11,3.818955859027796e-09,161,100.0
Picard,3,500,0.2735915184020996,0.29094681083446805,16.82185605652784,0,0.0
GlobalAndersonSolver,5,89,0.10111498832702637,2.195675201285937e-11,1.2694874391984278e-09,76,85.3932584269663
GlobalAndersonSolver eta=1e-10,5,92,0.0728299617767334,6.890238780647533e-11,3.983773000663783e-09,79,85.8695652173913
AA_pure,5,89,0.10325431823730469,8.148579606843968e-11,4.71131588685723e-09,89,100.0
FAA cs=0.1,5,89,0.13020086288452148,8.736989541578726e-11,5.051520585989351e-09,89,100.0
FAA cs=0.2,5,179,0.25905847549438477,6.390541815237925e-11,3.6948600409411686e-09,179,100.0
Picard,5,500,0.2735915184020996,0.29094681083446805,16.82185605652784,0,0.0
GlobalAndersonSolver,10,58,0.09623980522155762,5.986821121862318e-11,3.4614382903631927e-09,44,75.86206896551724
GlobalAndersonSolver eta=1e-10,10,58,0.056176185607910156,6.018452096831011e-11,3.4797265715210062e-09,44,75.86206896551724
AA_pure,10,68,0.15134763717651367,9.547503716869206e-11,5.520140700759022e-09,68,100.0
FAA cs=0.1,10,79,0.13288235664367676,4.8038948578914666e-11,2.777498319310363e-09,79,100.0
FAA cs=0.2,10,75,0.1478438377380371,5.7297632804441e-11,3.3128135299082914e-09,75,100.0
Picard,10,500,0.2735915184020996,0.29094681083446805,16.82185605652784,0,0.0
GlobalAndersonSolver,20,55,0.1248478889465332,4.173600924617955e-11,2.4130772834371732e-09,41,74.54545454545455
GlobalAndersonSolver eta=1e-10,20,55,0.05552482604980469,4.1799874426242957e-11,2.4167698170070365e-09,41,74.54545454545455
AA_pure,20,117,0.5224883556365967,9.728185770589172e-11,5.624606788253081e-09,117,100.0
FAA cs=0.1,20,79,0.13530540466308594,4.8038948578914666e-11,2.777498319310363e-09,79,100.0
FAA cs=0.2,20,75,0.1467444896697998,5.7582258936813394e-11,3.3292699392944685e-09,75,100.0
Picard,20,500,0.2735915184020996,0.29094681083446805,16.82185605652784,0,0.0
GlobalAndersonSolver,30,57,0.1468043327331543,5.456903348033827e-11,3.1550523744092893e-09,43,75.43859649122807
GlobalAndersonSolver eta=1e-10,30,57,0.057906389236450195,5.51321150534875e-11,3.1876084183969607e-09,43,75.43859649122807
AA_pure,30,341,2.5826687812805176,2.5960138862870527e-11,1.5009537925718598e-09,341,100.0
FAA cs=0.1,30,79,0.13730931282043457,4.8038948578914666e-11,2.777498319310363e-09,79,100.0
FAA cs=0.2,30,75,0.14903712272644043,5.7582258936813394e-11,3.3292699392944685e-09,75,100.0
Picard,30,500,0.2735915184020996,0.29094681083446805,16.82185605652784,0,0.0
