method_key,algorithm,m,iterations,time,final_rel_res,final_residual,AA_steps,AA_percent,eta,cs,effective_m,bu_norm
picard,Picard,10,100,1596.1526422079999,0.009577587441909157,0.9320131518170306,0,0.0,0.0,,0,1.1148378271832846e-13
aa_pure,AA_pure,10,62,1010.6436267500001,7.235569109796864e-11,7.041069175420101e-09,62,100.0,0.0,,10,3.094727909143973e-13
global_eta0,GlobalAndersonSolver,10,63,1024.0875772499999,8.084905230394554e-11,7.867574221196546e-09,62,98.41269841269842,0.0,,10,4.833489848203179e-13
global_eta1e10,GlobalAndersonSolver eta=1e-10,10,63,1034.705707875,3.73478141323593e-11,3.6343864437783945e-09,62,98.41269841269842,1e-10,,10,3.3301261532336716e-13
faa02,FAA cs=0.2,10,67,1073.2486018339996,4.807513237666039e-11,4.678282074912662e-09,67,100.0,0.0,0.2,10,1.8810848143084718e-13
faa0707,FAA cs=1/sqrt(2),10,64,1027.1088799999998,5.744920080203923e-11,5.5904904062358465e-09,64,100.0,0.0,0.7071067811865475,8,1.8985120183391556e-13
picard,Picard,20,100,1596.1526422079999,0.009577587441909157,0.9320131518170306,0,0.0,0.0,,0,1.1148378271832846e-13
aa_pure,AA_pure,20,59,939.8322114160001,9.19663847471572e-11,8.949422871813512e-09,59,100.0,0.0,,20,1.2762859231224241e-13
global_eta0,GlobalAndersonSolver,20,54,891.6820403749998,8.583261545224931e-11,8.352534178524164e-09,53,98.14814814814815,0.0,,20,2.0623901345825832e-13
global_eta1e10,GlobalAndersonSolver eta=1e-10,20,54,885.2616552500003,8.32901455259987e-11,8.105121620430881e-09,53,98.14814814814815,1e-10,,20,2.892261864017062e-13
faa02,FAA cs=0.2,20,67,1061.8261129580005,4.807513237666039e-11,4.678282074912662e-09,67,100.0,0.0,0.2,10,1.8810848143084718e-13
faa0707,FAA cs=1/sqrt(2),20,60,958.5748635,8.775851305030758e-11,8.539946916996153e-09,60,100.0,0.0,0.7071067811865475,11,1.897581670204835e-13
picard,Picard,30,100,1596.1526422079999,0.009577587441909157,0.9320131518170306,0,0.0,0.0,,0,1.1148378271832846e-13
aa_pure,AA_pure,30,57,916.2843676249995,8.8850715322118e-11,8.646231186176246e-09,57,100.0,0.0,,30,4.649873822089796e-13
global_eta0,GlobalAndersonSolver,30,52,857.2767007089988,9.479401638825051e-11,9.224585055816252e-09,51,98.07692307692308,0.0,,30,1.5101954917317377e-13
global_eta1e10,GlobalAndersonSolver eta=1e-10,30,52,842.6580180000001,9.678077867717284e-11,9.417920652493467e-09,51,98.07692307692308,1e-10,,30,2.0387853899153902e-13
faa02,FAA cs=0.2,30,67,1060.4248376670002,4.807513237666039e-11,4.678282074912662e-09,67,100.0,0.0,0.2,10,1.8810848143084718e-13
faa0707,FAA cs=1/sqrt(2),30,60,955.4185677919995,8.775851305030758e-11,8.539946916996153e-09,60,100.0,0.0,0.7071067811865475,11,1.897581670204835e-13
picard,Picard,50,100,1596.1526422079999,0.009577587441909157,0.9320131518170306,0,0.0,0.0,,0,1.1148378271832846e-13
aa_pure,AA_pure,50,58,931.1781801669986,5.7138098134462425e-11,5.5602164171435425e-09,58,100.0,0.0,,50,1.3974696065904626e-13
global_eta0,GlobalAndersonSolver,50,59,963.0633419170008,7.431290030602285e-11,7.231528905892716e-09,58,98.30508474576271,0.0,,50,8.942760827479594e-14
global_eta1e10,GlobalAndersonSolver eta=1e-10,50,59,970.4206584170024,9.097083725887595e-11,8.852544262459717e-09,58,98.30508474576271,1e-10,,50,9.943777234463961e-14
faa02,FAA cs=0.2,50,67,1069.247478166002,4.807513237666039e-11,4.678282074912662e-09,67,100.0,0.0,0.2,10,1.8810848143084718e-13
faa0707,FAA cs=1/sqrt(2),50,60,949.7376689159973,8.775851305030758e-11,8.539946916996153e-09,60,100.0,0.0,0.7071067811865475,11,1.897581670204835e-13
